latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
45.35616,30.90265,330.73,0.43,0.38,6/30/2025,11,N,VIIRS,n,2.0NRT,287.93,3.43,N
44.12392,42.01176,299.27,0.44,0.62,6/30/2025,11,N,VIIRS,n,2.0NRT,280.06,1.65,N
45.14804,9.94078,304.29,0.62,0.71,6/30/2025,11,N,VIIRS,n,2.0NRT,292.97,2.21,N
43.86755,17.54437,320.15,0.51,0.5,6/30/2025,11,N,VIIRS,n,2.0NRT,287.24,2.35,N
47.42784,19.86269,305.76,0.44,0.46,6/30/2025,11,N,VIIRS,n,2.0NRT,289.64,1.11,N
48.33412,9.73171,304.01,0.65,0.73,6/30/2025,11,N,VIIRS,n,2.0NRT,289.25,0.62,N
46.637,32.12276,309.54,0.44,0.39,6/30/2025,11,N,VIIRS,n,2.0NRT,286.94,1.98,N
44.42313,20.31173,304.97,0.39,0.44,6/30/2025,11,N,VIIRS,n,2.0NRT,289.45,1.17,N
46.34809,30.64878,305.8,0.41,0.37,6/30/2025,11,N,VIIRS,n,2.0NRT,284.64,0.62,N
44.54147,19.19469,303.47,0.44,0.46,6/30/2025,11,N,VIIRS,n,2.0NRT,291.55,0.71,N
44.88224,38.11599,305.04,0.56,0.51,6/30/2025,11,N,VIIRS,n,2.0NRT,285.33,1.36,N
44.11066,23.1807,324.99,0.45,0.39,6/30/2025,11,N,VIIRS,n,2.0NRT,291.32,8.07,N
46.63935,32.12984,303.52,0.44,0.39,6/30/2025,11,N,VIIRS,n,2.0NRT,286.83,0.79,N
44.47342,25.84148,343.97,0.39,0.36,6/30/2025,11,N,VIIRS,n,2.0NRT,298.69,15.23,N
44.73664,37.80585,312.59,0.54,0.51,6/30/2025,11,N,VIIRS,n,2.0NRT,287.01,1.79,N
47.76391,21.96321,306.65,0.54,0.42,6/30/2025,11,N,VIIRS,n,2.0NRT,287.41,1.53,N
46.73842,15.57266,301.88,0.34,0.56,6/30/2025,11,N,VIIRS,n,2.0NRT,286.18,0.2,N
44.11134,23.17512,330.48,0.45,0.39,6/30/2025,11,N,VIIRS,n,2.0NRT,293.24,8.07,N
38.1677,26.88,318.35,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,292.98,3.16,N
41.17611,32.6322,308.14,0.38,0.43,6/30/2025,13,N,VIIRS,n,2.0NRT,286.32,2.05,N
37.58445,38.0406,300.89,0.43,0.62,6/30/2025,13,N,VIIRS,n,2.0NRT,288.59,0.33,N
37.25961,39.81695,326.69,0.54,0.68,6/30/2025,13,N,VIIRS,n,2.0NRT,288.86,1.87,N
39.17056,22.83895,308.25,0.41,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,292.51,0.94,N
41.18385,32.63535,295.58,0.38,0.43,6/30/2025,13,N,VIIRS,n,2.0NRT,284.74,0.78,N
38.16358,26.88358,339.1,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,295.43,3.16,N
39.48376,30.04015,303.63,0.48,0.4,6/30/2025,13,N,VIIRS,n,2.0NRT,283.15,1.6,N
37.26315,39.80519,300.24,0.54,0.68,6/30/2025,13,N,VIIRS,n,2.0NRT,288.2,2.38,N
42.61889,26.3209,297.48,0.38,0.36,6/30/2025,13,N,VIIRS,n,2.0NRT,287.14,0.35,N
40.04271,18.28419,303.84,0.43,0.46,6/30/2025,13,N,VIIRS,n,2.0NRT,293.22,0.87,N
37.03506,14.31436,306.63,0.32,0.55,6/30/2025,13,N,VIIRS,n,2.0NRT,292.22,0.72,N
38.04307,26.86674,342.74,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,300.26,18.34,N
37.25785,39.82277,297.93,0.54,0.68,6/30/2025,13,N,VIIRS,n,2.0NRT,287.38,1.87,N
38.04642,26.86762,345.41,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,307.87,18.34,N
38.04977,26.86853,310.6,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,293.86,0.72,N
38.05054,26.86407,304.51,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,293.51,1.1,N
41.81535,9.28383,304.75,0.65,0.73,6/30/2025,13,N,VIIRS,n,2.0NRT,294.39,1.84,N
38.05132,26.85962,316.44,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,293.27,1.1,N
37.89986,30.49173,299.26,0.53,0.42,6/30/2025,13,N,VIIRS,n,2.0NRT,288.08,1.04,N
38.05311,26.86946,308.37,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,292.82,0.72,N
37.47257,13.47561,320.52,0.36,0.58,6/30/2025,13,N,VIIRS,n,2.0NRT,293.19,1.85,N
38.05389,26.86499,310.84,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,293.38,1.1,N
37.38603,39.46284,340.37,0.52,0.67,6/30/2025,13,N,VIIRS,n,2.0NRT,289.02,4.21,N
38.05645,26.87041,307.45,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,293.38,1.23,N
38.05723,26.86592,321.36,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,295.34,1.49,N
41.80862,9.27413,307.8,0.65,0.73,6/30/2025,13,N,VIIRS,n,2.0NRT,294.33,3.18,N
38.06057,26.86685,319.29,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,294.92,1.49,N
39.94261,16.58918,322.36,0.52,0.5,6/30/2025,13,N,VIIRS,n,2.0NRT,296.32,3.26,N
38.07731,26.87133,310.26,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,293.67,1.25,N
38.1508,26.93699,337.19,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,295.79,12.95,N
38.08118,26.84899,330.74,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,294.39,4.55,N
41.80857,9.27917,314.09,0.65,0.73,6/30/2025,13,N,VIIRS,n,2.0NRT,294.32,1.84,N
38.08786,26.85084,306.77,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,293.06,0.93,N
38.08657,26.87856,313.3,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,293.53,1.4,N
37.20627,15.1659,321.65,0.58,0.52,6/30/2025,13,N,VIIRS,n,2.0NRT,293.9,3.31,N
38.0912,26.85175,307.39,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,293.42,0.93,N
41.80852,9.28396,308.12,0.65,0.73,6/30/2025,13,N,VIIRS,n,2.0NRT,293.62,1.84,N
38.08694,26.88109,328.11,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,294.31,2.61,N
38.08466,26.91403,304.02,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,293.49,0.54,N
39.94308,16.583,336.29,0.52,0.5,6/30/2025,13,N,VIIRS,n,2.0NRT,296.47,6.66,N
38.09028,26.882,330.12,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,294.82,2.61,N
37.20577,15.17256,307.36,0.58,0.52,6/30/2025,13,N,VIIRS,n,2.0NRT,292.69,1.42,N
37.38768,39.45717,313.76,0.52,0.67,6/30/2025,13,N,VIIRS,n,2.0NRT,287.37,4.21,N
38.09363,26.88291,313.04,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,293.23,1.3,N
38.10113,26.88009,335.13,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,294.56,1.93,N
38.10448,26.88099,304.2,0.4,0.37,6/30/2025,13,N,VIIRS,n,2.0NRT,292.65,1.93,N
37.38013,39.46026,298.38,0.52,0.67,6/30/2025,13,N,VIIRS,n,2.0NRT,287.59,1.08,N
